minefield101,"RT @LeftCoastLarry: If culture of Murder by Cop is to change, good cops have to stop covering 4 bad cops #WalterScott #Ferguson #BlackLives…"
ICanSeeRacism,"RT @WarOnBlackPpl: Doesnt matter how much education black person gets,white person will have better job prospects http://t.co/PTpLcl6EHY #I…"
restorefamily1,RT @I_Cant_Breathe_: #blackpower #icantbreathe #blacklivesmatter #handsup #justiceshallbeserved Stop Killing Ou… http://t.co/YLmsyzWntI htt…
REPUBSRFUBAR,"RT @LeftCoastLarry: If culture of Murder by Cop is to change, good cops have to stop covering 4 bad cops #WalterScott #Ferguson #BlackLives…"
esperansiwis,@Rubiu5 jajajajajaja #ICantBreathe
0103lrl,"RT @LeftCoastLarry: If culture of Murder by Cop is to change, good cops have to stop covering 4 bad cops #WalterScott #Ferguson #BlackLives…"
1BeautifulKarma,RT @WarOnBlackPpl: You don't have to be black to feel outraged! #ICantBreathe #EricGarner #Ferguson #racism #UniteBlue #LibCrib #p2 http://…
I_Cant_Breathe_,#ICantBreathe piece by #GI #streetart #graffiti #BlackLivesMatter #Brooklyn by caw338 http://t.co/xfZvMUd58K http://t.co/8RRfiI3eUL
I_Cant_Breathe_,#blackpower #icantbreathe #blacklivesmatter #handsup #justiceshallbeserved Stop Killing Ou… http://t.co/YLmsyzWntI http://t.co/Cf66avZb8w
I_Cant_Breathe_,#highsociety #kush #420  #cannabis #dank #dab #wfayo #party #icantbreathe  #igdaily #gm #t… http://t.co/z6er2nWW5r http://t.co/50m6aJItBD
I_Cant_Breathe_,#ICantBreathe piece by #GI #streetart #graffiti #BlackLivesMatter #Brooklyn by caw338 http://t.co/xfZvMUd58K http://t.co/982jCAomQm
I_Cant_Breathe_,#blackpower #icantbreathe #blacklivesmatter #handsup #justiceshallbeserved Stop Killing Ou… http://t.co/YLmsyzWntI http://t.co/XTDC5roDB8
I_Cant_Breathe_,#highsociety #kush #420  #cannabis #dank #dab #wfayo #party #icantbreathe  #igdaily #gm #t… http://t.co/Ae6WXEJ2Bk http://t.co/vbwHSFylD1
CACU_CMU,👀👀 #PoeticJustice2k15 #ICantBreathe http://t.co/04C5GdAFnS
DAPROMODIVA,"You wanna hear real rap? RIDE OUT JOOKS PICASSO ~YOUNG NIGGAZ~ FULL VIDEO  - http://t.co/5QK7Xdb6Ao 
Best #ICantBreathe song"
MissCoxy21,"#ICantBreathe I have a terrible cold, and nothing is working."
KellySlapper,Skipping my classes this morning because the size of my tonsils is ridiculous. #icantbreathe #suffocatedbymyownanatomy
Nayboar,RT @mujer_cita_MIA: #Orta should be hailed a national hero for preventing another coverup of a murder committed by cops #FreeOrta #ICantBre…
fionamcgregor8,"RT @TomAdelsbach: It's not that it happened again - it's that it never stopped...
#WalterScott #EricGarner #ICantBreathe http://t.co/tXl08L…"
MarkDilley,"RT @LeftCoastLarry: If culture of Murder by Cop is to change, good cops have to stop covering 4 bad cops #WalterScott #Ferguson #BlackLives…"
